id,prospect_id,product_id,channel,content_type,subject,sent_at,was_opened,was_clicked,was_replied,reply_sentiment,was_converted,day_of_week,time_of_day,created_at
534c633f-a8a8-4bb5-80b6-bf23e5dd673b,ed3b37be-d2e7-4d8e-ab89-8112ab622ab6,4c4b1dfd-47ae-463c-838d-dcb58efd2a9a,email,demo_invite,Offer according stock affect different interview else,2026-02-18T10:15:54,False,False,False,,False,Wednesday,morning,2026-02-18T10:15:54
86afa306-d391-4b9d-95a9-dbfef11d6216,c5b3a3c4-6efb-4bc7-ba5e-7dee5298a020,c4454f3c-058b-4582-a1c6-7de6ad3b72c2,linkedin,demo_invite,Purpose force leader program show off great they test,2026-02-18T10:22:47,True,True,False,,False,Wednesday,morning,2026-02-18T10:22:47
e68a607f-f29c-44c3-89ac-aeedc7945052,67f7dd2d-7dfe-4fad-b12e-e8a43b196ee1,340afe23-4121-4d18-87ab-a3395623d8ed,call,follow_up,,2026-02-18T10:20:23,True,False,False,,False,Wednesday,morning,2026-02-18T10:20:23
08292c81-d53c-49d7-9885-68a7dfc9f2d3,5b05d2b6-5fc1-4b6c-b15b-4e551c78e63c,,call,outreach,,2026-02-18T10:21:37,False,False,False,,False,Wednesday,morning,2026-02-18T10:21:37
59177780-6bfb-4b5d-a49f-f650c41395e5,a478a94b-7d6d-435e-a4ba-5dcddd38836b,455ff4e3-87ef-4dc4-b2ff-f8b3bcb238b7,email,outreach,Final beyond mouth war always camera,2026-02-18T10:20:14,False,False,False,,False,Wednesday,morning,2026-02-18T10:20:14
8b9c8b64-0d3b-4de4-b53f-dd29a0779018,80c9daf8-2c02-4b39-88f0-d6e54386349c,2b36034e-bfd2-482f-bf40-2cf34dc09f2c,linkedin,follow_up,Force firm discover decade,2026-02-18T10:27:04,False,False,False,,False,Wednesday,morning,2026-02-18T10:27:04
f5ce236c-97d5-479f-91f9-d7388469ebf8,efd64e18-fc70-46b8-947f-782637676b92,d6544fc2-8b14-452c-814d-30e233d3a2ca,linkedin,nurture,Interest even view describe green,2026-02-18T10:25:31,True,True,True,neutral,False,Wednesday,morning,2026-02-18T10:25:31
3116d43a-daef-4739-8027-cfb92faf47da,4176099b-48d0-41ba-b3f1-a294ac390998,,linkedin,nurture,But way agent test take decade any just,2026-02-18T10:19:52,False,False,False,,False,Wednesday,morning,2026-02-18T10:19:52
02abe439-e42b-4fe0-a3b4-dcb2b72231cb,5c531b1e-62c5-421c-b569-aaaed5b56709,322a4b10-8855-4a18-a5fc-7e16ba182b82,call,follow_up,,2026-02-18T10:21:57,False,False,False,,False,Wednesday,morning,2026-02-18T10:21:57
3a0c2046-2194-4d6d-be1a-041e17faf8d9,a107a062-6cbb-4e89-9434-8d7e2ea0d874,d6544fc2-8b14-452c-814d-30e233d3a2ca,email,nurture,Opportunity by wide medical official might clear,2026-02-18T10:22:12,False,False,False,,False,Wednesday,morning,2026-02-18T10:22:12
72e01fa2-a0c3-40c5-92f6-9e64e980539c,dee510a6-0534-4dae-bf89-b68b38958006,340afe23-4121-4d18-87ab-a3395623d8ed,email,outreach,Wait scientist group yet indeed,2026-02-18T10:22:20,True,True,False,,False,Wednesday,morning,2026-02-18T10:22:20
c83afe59-a11d-4825-8bcd-b6dd5869422a,d4e61bc8-a7b6-4621-9282-5532b6296f61,3c122829-6145-48fb-8535-1ec0d2bd69bf,email,demo_invite,Son growth effort born,2026-02-18T10:22:21,False,False,False,,False,Wednesday,morning,2026-02-18T10:22:21
e037f391-93b6-43a9-a247-9d168a212780,4347ded2-e1a4-4655-b067-e1b0a8c5e3eb,435b608c-2d54-4d8e-aa90-6f9be8e0c3ce,call,demo_invite,,2026-02-18T10:30:46,False,False,False,,False,Wednesday,morning,2026-02-18T10:30:46
1258d265-3d07-4d5a-b00b-025b1cca6cb4,e7c324c3-8412-40f6-bfa4-5561d6ddfa3c,c4454f3c-058b-4582-a1c6-7de6ad3b72c2,email,outreach,Herself information which beyond,2026-02-18T10:15:44,False,False,False,,False,Wednesday,morning,2026-02-18T10:15:44
9648da11-c6ee-4e31-9ff9-fe20f5aff57b,a7d9b501-cd1a-4bae-8781-ff3afb4b4c33,c4454f3c-058b-4582-a1c6-7de6ad3b72c2,email,demo_invite,Student its summer feel yourself be,2026-02-18T10:27:29,True,True,False,,False,Wednesday,morning,2026-02-18T10:27:29
0a0a643e-6bac-4012-827b-020128c00966,7e92fcb9-6b30-40b7-a8cc-c3a11d30a338,7061005c-6aff-4e1a-8cfd-10839fe924b1,email,demo_invite,Administration who role today animal suggest concern act,2026-02-18T10:28:29,True,True,False,,False,Wednesday,morning,2026-02-18T10:28:29
27314a06-cb72-43e5-8138-6e04615c1e8c,a450299d-b594-4257-bfdb-991b527192d6,9a1ab718-e83e-4a9d-b029-e46b6e5aa272,call,follow_up,,2026-02-18T10:32:53,False,False,False,,False,Wednesday,morning,2026-02-18T10:32:53
807d6ed6-7a1a-4276-9c10-1fb23ffa6b7d,1b558555-2c19-4932-adda-4b9103dba629,2b36034e-bfd2-482f-bf40-2cf34dc09f2c,email,outreach,Reason several article sort term,2026-02-18T10:20:29,False,False,False,,False,Wednesday,morning,2026-02-18T10:20:29
9ab678ea-e5df-47f5-9dd6-bee58f214b06,e983aec4-98ed-4d07-92a2-3b2884a2264f,,email,follow_up,Pay statement information company million character speak,2026-02-18T10:25:11,True,False,False,,False,Wednesday,morning,2026-02-18T10:25:11
