id,name,category,description,target_industries,target_seniority,key_benefits,value_proposition,cta_primary,cta_secondary,price_model,price_from_usd,trial_available,created_at
3c122829-6145-48fb-8535-1ec0d2bd69bf,Nexus CRM Pro,SaaS,AI-powered CRM for B2B sales teams,"[""Technology"", ""Professional Services"", ""Finance""]","[""c_level"", ""vp"", ""director"", ""manager""]","[""Automated lead scoring"", ""Pipeline forecasting"", ""Email automation""]",Close 40% more deals with AI-driven insights,Start Free Trial,Book a Demo,per_seat,79.0,True,2025-04-09T11:52:48
5774d807-4eeb-4a60-bdcf-7b222e8eb58a,ShieldLayer Security,SaaS,Enterprise cybersecurity platform,"[""Technology"", ""Finance"", ""Healthcare""]","[""c_level"", ""vp"", ""director""]","[""Real-time threat detection"", ""SOC2 compliance"", ""24/7 monitoring""]",Reduce breach risk by 80%,Request a Demo,Download Security Report,flat_rate,5000.0,False,2024-05-02T09:59:37
9a1ab718-e83e-4a9d-b029-e46b6e5aa272,FlowHR Platform,SaaS,Modern HR and payroll platform,"[""Retail"", ""Manufacturing"", ""Healthcare""]","[""c_level"", ""director"", ""manager""]","[""Automated payroll"", ""Self-service onboarding"", ""Performance reviews""]",Cut HR admin time by 60%,Start Free Trial,Watch Product Tour,per_seat,12.0,True,2024-05-26T20:51:41
974e1eb3-06bc-46ae-af0b-d1ab164e22f9,DataBridge Analytics,SaaS,Business intelligence platform,"[""Finance"", ""Retail"", ""Logistics""]","[""c_level"", ""vp"", ""director""]","[""No-code dashboards"", ""Real-time pipelines"", ""200+ integrations""]",Turn data into insights in 30 minutes,Start Free Trial,Book a Demo,usage,299.0,True,2025-09-05T11:19:56
006795e2-4b6e-4023-af2d-2ac26a25a70d,ReachMax Outreach,SaaS,Multi-channel outreach automation,"[""Technology"", ""Professional Services""]","[""vp"", ""director"", ""manager""]","[""Multi-channel sequences"", ""AI personalisation"", ""A/B testing""]",3x your reply rate,Start Free Trial,See It In Action,per_seat,99.0,True,2024-06-10T07:23:54
5d378e94-0370-428e-8c72-74b9d3c47fbc,PropertyMinute Platform,Managed Service,Generation leader pay try tough. Notice American force although participant rich speech.,"[""Logistics"", ""Real Estate""]","[""individual"", ""director"", ""vp""]","[""High woman"", ""Front PM"", ""Institution against wear""]",Return sea bad treatment whole soldier number yet past.,Start Trial,Download Guide,flat_rate,2500,True,2025-04-12T17:39:34
322a4b10-8855-4a18-a5fc-7e16ba182b82,TooStudent Platform,Consulting,Hear list set.,"[""Technology"", ""Finance"", ""Professional Services""]","[""director"", ""vp""]","[""Ever read control maybe"", ""Painting travel"", ""Evening imagine affect""]",Price ever leg so play best different remember determine particularly rock.,Book a Demo,Learn More,usage,2500,True,2025-06-06T05:30:33
22d9f58f-f817-4d18-8adb-7874946b77b2,TheMagazine Platform,SaaS,Play forget home upon actually future. State charge take material mother color.,"[""Retail"", ""Professional Services"", ""Media"", ""Logistics""]","[""individual"", ""vp""]","[""Eight allow system whose"", ""Main world bar security morning"", ""Factor firm purpose""]",Choose once person north indeed share.,Get Quote,Learn More,usage,29,False,2025-09-24T13:55:41
d6544fc2-8b14-452c-814d-30e233d3a2ca,FederalOnly Platform,SaaS,Heart Mrs her we but. Design yeah number condition city since.,"[""Real Estate"", ""Finance"", ""Manufacturing""]","[""c_level"", ""manager""]","[""Nearly goal design too"", ""Floor guy black"", ""Maybe mouth different identify""]",Experience under church them hundred about stop several prevent raise better.,Get Quote,Download Guide,flat_rate,99,False,2025-05-14T13:57:31
455ff4e3-87ef-4dc4-b2ff-f8b3bcb238b7,ReadKid Platform,Managed Service,Country ahead difference particular me ball. Rule watch foot economic notice line before.,"[""Retail"", ""Logistics""]","[""vp"", ""c_level"", ""director""]","[""Age over smile hope"", ""Tell sure claim hard themselves"", ""Line require current""]",Fall thus debate leave each owner wrong.,Start Trial,Download Guide,usage,29,True,2025-10-29T19:35:45
e2d2df1e-eac8-48d5-ad2d-1ae01d00f63e,CostMain Platform,Managed Service,Sound study the training. Left while according allow quality.,"[""Healthcare"", ""Real Estate""]","[""c_level"", ""vp"", ""individual""]","[""Yet television audience indicate employee"", ""Building since positive move agency"", ""Still art speech stock""]",Guy respond memory power investment buy.,Book a Demo,Download Guide,custom,999,False,2024-06-11T08:22:01
