id,time_context,location,business_behavior,user_intent,category,confidence,tone,cta_type,urgency_level,created_at
84eefce5-cb35-4b87-8b27-019c62e0b370,Friday afternoon,"Jacksonfurt, Syrian Arab Republic","SMB, service-based",generate enterprise leads,B2B_reengagement,0.88,formal,download_resource,high,2026-02-18T10:32:49
4d896367-77a2-4700-9659-6a1d3991e7e7,Friday afternoon,"Blevinstown, Marshall Islands","SaaS startup, growth stage",recruit senior engineers,recruitment,0.97,persuasive,schedule_call,high,2026-02-18T10:31:00
7e7ef58c-660e-4625-abe8-c23e946cbc78,Friday afternoon,"Tylerland, Samoa","SMB, service-based",promote new feature launch,partnership_outreach,0.71,conversational,start_trial,low,2026-02-18T10:30:11
6c5dd918-5c3a-4438-aed9-d22da0bf1813,Friday afternoon,"West Ashleyberg, Panama","SMB, service-based",generate enterprise leads,B2B_lead_gen,0.7,conversational,download_resource,medium,2026-02-18T10:32:53
d945ba08-f23c-47fc-9ee2-e0942392178d,Monday 9am,"Travisberg, Micronesia","SaaS startup, growth stage",recruit senior engineers,event_promotion,0.82,conversational,schedule_call,medium,2026-02-18T10:32:51
0c3cdf54-347c-4bf9-a45d-b886a7962478,Monday 9am,"Williamsborough, Cayman Islands","SMB, service-based",build partnerships with agencies,product_launch,0.97,formal,download_resource,high,2026-02-18T10:30:48
8013ed86-99e4-4d24-a94b-23b127dd741a,Monday 9am,"North Susanmouth, United States Minor Outlying Islands","SMB, service-based",recruit senior engineers,content_distribution,0.76,data_driven,start_trial,medium,2026-02-18T10:31:19
00122fec-3a88-4e2a-91c8-9430c6bac112,Friday afternoon,"Christinaberg, Equatorial Guinea","SMB, service-based",re-engage cold prospects,B2C_marketing,0.8,formal,schedule_call,high,2026-02-18T10:30:59
52493ca9-49d4-4f2e-944c-1f1ba0f015e1,Friday afternoon,"Crosbyberg, New Zealand","Mid-market, scaling fast",re-engage cold prospects,partnership_outreach,0.78,formal,download_resource,medium,2026-02-18T10:31:40
0d510309-094f-4d7a-87fd-9d13742587d7,weekday morning,"West Matthewton, Greenland","Mid-market, scaling fast",generate enterprise leads,B2B_lead_gen,0.68,conversational,book_demo,high,2026-02-18T10:33:04
2c895028-9784-4703-928e-9be8d7960c2f,weekday morning,"Lake Sarahhaven, Iran","Mid-market, scaling fast",build partnerships with agencies,recruitment,0.93,conversational,book_demo,low,2026-02-18T10:30:15
b6678d3a-873f-4767-bc5e-4a418f43befa,Monday 9am,"Williamsside, Antarctica (the territory South of 60 deg S)","Mid-market, scaling fast",generate enterprise leads,B2B_lead_gen,0.65,data_driven,schedule_call,low,2026-02-18T10:30:55
95882abb-3d50-44c7-aa54-97b3a7a1daa5,Monday 9am,"West Alexander, Slovenia","SaaS startup, growth stage",promote new feature launch,B2B_reengagement,0.81,persuasive,book_demo,medium,2026-02-18T10:31:42
aa59e7f3-8649-40f7-a8cd-2709e1a15cb4,Friday afternoon,"Oliviaview, Korea","Enterprise, mature market",re-engage cold prospects,B2B_reengagement,0.69,persuasive,start_trial,high,2026-02-18T10:31:53
d1be0e4c-b79d-4d31-9d09-7826c1e3a27f,weekday morning,"Bobbyshire, Angola","Enterprise, mature market",re-engage cold prospects,B2C_marketing,0.83,conversational,book_demo,low,2026-02-18T10:31:16
1ce81ac5-e30f-4c3b-8f69-c9f9dc5e3836,Friday afternoon,"Lake Wayneshire, Madagascar","Mid-market, scaling fast",promote new feature launch,B2C_marketing,0.82,conversational,visit_website,low,2026-02-18T10:31:35
9cd1b5c2-cee3-43b2-ba37-f792e6348371,Monday 9am,"Myersview, Costa Rica","SMB, service-based",generate enterprise leads,B2B_lead_gen,0.74,formal,visit_website,medium,2026-02-18T10:30:20
690e4543-4c8b-4080-a093-d58d01453a8c,Friday afternoon,"South Markstad, Jersey","SaaS startup, growth stage",re-engage cold prospects,partnership_outreach,0.94,formal,book_demo,high,2026-02-18T10:30:45
edbb1cb6-d99c-4fda-b24b-1f9c6bdf99e8,Friday afternoon,"New Angelica, Marshall Islands","SaaS startup, growth stage",promote new feature launch,product_launch,0.76,data_driven,start_trial,high,2026-02-18T10:32:21
cc0066a4-b961-4ef4-acbc-584d1a0a9db6,Monday 9am,"Lunafurt, Guatemala","Enterprise, mature market",generate enterprise leads,recruitment,0.75,conversational,schedule_call,low,2026-02-18T10:31:59
4cb5637d-214a-4611-b27e-deca11240e8b,weekday morning,"North Jamie, Palestinian Territory","Mid-market, scaling fast",build partnerships with agencies,product_launch,0.66,formal,book_demo,high,2026-02-18T10:30:24
8bb1ced0-1ccd-4dfe-a182-9ae6c6005df2,Friday afternoon,"Hollandberg, Tajikistan","SaaS startup, growth stage",build partnerships with agencies,event_promotion,0.95,conversational,start_trial,medium,2026-02-18T10:32:42
7706d85f-b8fa-45ba-8c62-0ed381264c50,weekday morning,"North Victoriaborough, Moldova","SMB, service-based",re-engage cold prospects,B2B_reengagement,0.96,conversational,download_resource,medium,2026-02-18T10:31:48
fd7f5086-7d7b-4b20-91dc-b79c36b88c9e,Monday 9am,"West Timothyshire, Falkland Islands (Malvinas)","Mid-market, scaling fast",recruit senior engineers,event_promotion,0.89,persuasive,visit_website,high,2026-02-18T10:33:01
